URL,Post,Comment,Sentiment
https://www.facebook.com/profeMikhailKrasnov,no hay mejor regalo que estar orgullosos de nuestras raices gente y tradiciones a tunja y a sus habitantes hoy les obsequiamos el video de nuestro himno en cada fragmento encontramos la esencia de lo que significa ser cuna y taller de libertad felices  anos,luis alberto angaritaespero que haya gestiones para que se haga una universidad nacional una internacional como las de rio grande brasil que vuelvan las tunaslas bandas marciales que se trabaje por la musicael deporte con un gran escenario como lo sono miguel angel b ver mas,positivo
https://www.facebook.com/profeMikhailKrasnov,como no amarte tunjafelices 485 anos,jorgito espanafeliz aniversario a la siempre noble  leal  cultural  universitaria e hidalga ciudad de tunja  indudablemente el 6 de agosto  para colombia y especialmente para bogota y tunja  es un dia muy especial en la historia de colombia  felicitaciones tamb ver mas,positivo
https://www.facebook.com/profeMikhailKrasnov,james es la muestra del tunjano innovador y berraco que hoy organiza el sexto festival del postre que esta ubicado en la cra 4 n 4a02 en el barrio cooservicioslos invito a venir en familia a disfrutar de la dulzura y corazon que le han puesto a esta actividad,andres saavedrabien bacano ver que el alcalde incentiva el comercio,positivo
https://www.facebook.com/profeMikhailKrasnov,enimagenes  revive los mejores momentos del desfile militar y policial del 20dejulio en nuestra ciudadcolombiapatriamia,myriam fajardo gomezmajestuoso el desfile estos son lo heroes de nuestra patria a nuestros soldados y policias los amamos gracias por cuidarnos tienen todo nuestro respaldo y nuestra admiracion y a ud senor alcalde mil y mil gracias,positivo
https://www.facebook.com/profeMikhailKrasnov,desde mi amada tunja me siento orgulloso de conmemorar el grito de independencia de este pais que me adopto hace mas de 15 anoshoy es el dia perfecto para honrar a todos los hombres y mujeres que diariamente entregan su vida a la seguridad de nuestro paishoy me siento mas colombiano que nunca feliz dia de la independencia,yamid humberto mendoza abrilque pena esas trochas,negativo
https://www.facebook.com/profeMikhailKrasnov,desde mi amada tunja me siento orgulloso de conmemorar el grito de independencia de este pais que me adopto hace mas de 15 anoshoy es el dia perfecto para honrar a todos los hombres y mujeres que diariamente entregan su vida a la seguridad de nuestro paishoy me siento mas colombiano que nunca feliz dia de la independencia,cald geoxyamid humberto mendoza abril las que dejo funeme uy si que pena,positivo
https://www.facebook.com/profeMikhailKrasnov,vivamos nuestro orgullo patrio este 20 de julio este sabado el gran desfile militar y policial recorrera las calles desde el bosque de la republica plaza de bolivar y finaliza en la plazoleta de las nieves nuestro alcalde los invita a que acompanemos a nuestros heroes de la patriamodopatrio  ver mas,fanny esperanza moreno morenode ayacucho,negativo
https://www.facebook.com/profeMikhailKrasnov,vivamos nuestro orgullo patrio este 20 de julio este sabado el gran desfile militar y policial recorrera las calles desde el bosque de la republica plaza de bolivar y finaliza en la plazoleta de las nieves nuestro alcalde los invita a que acompanemos a nuestros heroes de la patriamodopatrio  ver mas,alfonso  balanta renteriafanny esperanza moreno moreno el ejercito de colombia hace honor a esta batalla en nombre de los colombianos que hicieron capitular a los espanoles en peru y lograron su independencia,negativo
https://www.facebook.com/profeMikhailKrasnov,vamos a cerrar el parque acuatico de tunjadesde que llegamos hemos visto una problematica de inundacion que ha afectado a mi ciudad y que ha venido impidiendo el transito por eso junto con mi equipo hemos estado trabajando para darle finpara lograrlo queremos contar con sumerce con sus capacidades y experiencia hemos abierto una licitacion publica y los interesados en participar pueden consultar toda la informacion en el siguiente enlace  httpscommunityse ver mas,henry guio e,positivo
https://www.facebook.com/profeMikhailKrasnov, al concejo de tunja presentamos nuestra agenda y logros en el ii encuentro de lideres iberoamericanos por la educacion del 16 al 22 de junio participe activamente en este  evento compartiendo y aprendiendo sobre las mejores practicas educativas aqui algunos puntos destacados1 busca de mejoras educativas para tunjao programas educativos innovadoreso alianzas con instituciones iberoamericanas2 ver mas,john jairo valdes bravo   seguirgenial,positivo
https://www.facebook.com/profeMikhailKrasnov,vamos mi colombia  aca millones hoy estamos de corazon y alma con nuestra tricolor,eva yolima ceron,positivo
