id,postText
"post_1729357833511_6btw68","Janeth SandovalClaro los supuesto campesinos1 horaMe gustaResponder"
"post_1729357833512_8y58r","Jorge NiñoEsfundar el verbo romper por debajo es fundar es fundar6 horasMe gustaResponder"
"post_1729357833512_xm56vh","Jorge NiñoEl agua que represente se va a salir por samacá repetición no le quiten la mitad de lo que se habla que revisen porque van a fundar La represa de tiatinos por el sector de Samaná únicamente ponen la mitad y el resto7 horasMe gustaResponder"
"post_1729357833513_ko7px","Andrea R GarciaGracias radio uno por invitar al padre, es muy bonito escuchar esas aclaraciones espirituales que nos hacer ir por la senda del bien  con la mano de Dios, y hacernos reflexionar..2 semanasMe gustaResponder"
"post_1729357833514_rg3jw","Linda QuinteroGracias por tan interesante tema.12 horasMe gustaResponder"
"post_1729357833514_6c08va","Jorge Ayala QuinteroColaborador destacadoSin palabras.1 díaMe gustaResponder"
"post_1729357833515_g0c27s","Rocio Torres RodriguezMotos por variar19 horasMe gustaResponder"
"post_1729357833516_li79pd","Idaly EspitiaQ la disfrute41 semanasMe gustaResponder"
"post_1729357833516_e5qasm","HCast Dan FernandoNunca contestan1 díaMe gustaResponder"
"post_1729357833517_nmtbm7","Jorge Ayala QuinteroColaborador destacadoSi al año hay muchos desaparecidos en Colombia.1 díaMe gustaResponder"
"post_1729357841136_dcyg6a","Flor PeñaGracias a Dios y el equipo de trabajo millones de bendiciones para todos acá en el Bario Santa Ana al norte de la ciudad gracias a Dios  ya esta empezando a llegar3 díasMe gustaResponder4"
"post_1729357841136_5nyfgq","Jennifer Montealegre MartinezMuy buenos días señores veolia , yo creería que así mismo como tenemos poca agua debería de llegar el recibo más económico creería yo 3 díasMe gustaResponder3"
"post_1729357841137_r21ewf","Junior MartinezBuenos días solo quiero dejar una humilde opinión en cuanto al día sin carro pasando de una resecion de estudiantes será q los dirigentes de la ciudad no se dan cuenta q está ciudad no depende si no del trabajo informal y de el estudaindo para q ahora … Ver más2 díasMe gustaResponder"
"post_1729357841137_3c3zb","Cecilia BaronSi es día sin caro q ba aplicar2 díasMe gustaResponder"
"post_1729357849095_kewim","Jeimmy ValbuenaA está hora hay barrios donde no han restablecido el servicio de agua ni de a pocos. Y tampoco enviaron carrotanques para abastecer como en el norte de Tunja específicamente en San José de la arboleda4 díasMe gustaResponderEditado12"
"post_1729357849095_kd4lqr","Edwin SosaBarrio patriotas no hay ni una gota de agua , porfavor ya den solucion.4 díasMe gustaResponder7"
"post_1729357849095_alhvkj","Johel GumenPara cuándo se piensa programar un día sin taxis y un día sin busetas de servicio público que son los que más contaminan.1 semanaMe gustaResponder41"
"post_1729357849095_9w3xl8","Claudia SolerPara q no acabemos con los carros y motos con esa huecamenta tan terrible q hay1 semanaMe gustaResponder19"
"post_1729357849096_9f4h1h","Aurelio AriasEfectos del huracán Milton...6 díasMe gustaResponder3"
"post_1729357849096_mn44hb","Jose ochoaColaborador destacadoCómo ese pueblo lo convirtieron lo actores de televisión.para meter droga hongos de todo extranjero s de todo es para periquiar se lo tiraron5 díasMe gustaResponder"
"post_1729357857695_07rrhp","Raul MolinaViva Gustavo petro el mejor presidente de la historia de Colombia 1 semanaMe gustaResponder24"
"post_1729357857695_em9kaw","Adolfo CastroColaborador destacadoDe cual seguridad es que habla este presidente, a cual seguridad se refiere si en toda Colombia esta disparada, a la fecha menos policia y menos fuerzas militares y fuera de eso mania atados por orden del mandatario y un ministro de defensa que no sabe que hacer.1 semanaMe gustaResponder10"
"post_1729357857696_rmv9bh","Amigo JesusNo hay Agua4 díasMe gustaResponder"
"post_1729357857696_yeave","Amigo JesusComunicado falso4 díasMe gustaResponder"
"post_1729357866601_trbrb3","Rosario Leon VargasColaborador destacadoSin agua y con pico y placa, que horror4 díasMe gustaResponder"
"post_1729357866601_ofmbus","Ana SolerSeñor dios ilumina  a todos los conductores, y también ellos no se excedan  en velocidad5 díasMe gustaResponder"
"post_1729357866601_r2b7km","Mery Sanabria1 semanaMe gustaResponder"
"post_1729357866601_tds6ar","Alexander Cabrera TocarrunchoAlto del sote.  Casablanca está como  a 10 kilómetros de ahí6 díasMe gustaResponder2"
"post_1729357866601_r2k36g","Julian SuspesEs mentira fue en el  alto de sote sector las reseveras6 díasMe gustaResponder"
